resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22209,903,813,208,13,22,14,14,14,0.0,53,\N,\N,34,15,103.067,190.396,11,Pastor,Maldonado,Pastor Maldonado,22.0,Chinese Grand Prix,2014
22210,903,13,3,19,6,15,15,15,0.0,53,\N,\N,34,9,102.379,191.676,11,Felipe,Massa,Felipe Massa,6.0,Chinese Grand Prix,2014
22211,903,821,15,21,17,16,16,16,0.0,53,\N,\N,42,7,102.257,191.904,11,Esteban,Gutiérrez,Esteban Gutiérrez,17.0,Chinese Grand Prix,2014
22212,903,824,206,17,19,17,17,17,0.0,53,\N,\N,36,21,104.825,187.203,11,Jules,Bianchi,Jules Bianchi,19.0,Chinese Grand Prix,2014
22213,903,155,207,10,18,18,18,18,0.0,53,\N,\N,48,16,103.323,189.924,11,Kamui,Kobayashi,Kamui Kobayashi,18.0,Chinese Grand Prix,2014
22214,903,820,206,4,21,19,19,19,0.0,52,\N,\N,50,13,102.875,190.751,12,Max,Chilton,Max Chilton,21.0,Chinese Grand Prix,2014
22215,903,828,207,9,20,20,20,20,0.0,52,\N,\N,30,19,103.62,189.38,12,Marcus,Ericsson,Marcus Ericsson,20.0,Chinese Grand Prix,2014
22216,903,154,208,8,10,\N,R,21,0.0,28,\N,\N,4,20,104.366,188.026,6,Romain,Grosjean,Romain Grosjean,10.0,Chinese Grand Prix,2014
22217,903,16,15,99,14,\N,R,22,0.0,5,\N,\N,2,22,118.376,165.773,5,Adrian,Sutil,Adrian Sutil,14.0,Chinese Grand Prix,2014
22218,904,1,131,44,1,1,1,1,25.0,66,41:05.2,6065155,54,3,89.483,187.275,1,Lewis,Hamilton,Lewis Hamilton,1.0,Spanish Grand Prix,2014
22219,904,3,131,6,2,2,2,2,18.0,66,0.636,6065791,51,2,89.236,187.794,1,Nico,Rosberg,Nico Rosberg,2.0,Spanish Grand Prix,2014
22220,904,817,9,3,3,3,3,3,15.0,66,49.014,6114169,65,5,90.012,186.175,1,Daniel,Ricciardo,Daniel Ricciardo,3.0,Spanish Grand Prix,2014
22221,904,20,9,1,15,4,4,4,12.0,66,+1:16.702,6141857,55,1,88.918,188.465,1,Sebastian,Vettel,Sebastian Vettel,10.0,Spanish Grand Prix,2014
22222,904,822,3,77,4,5,5,5,10.0,66,+1:19.293,6144448,47,8,90.424,185.326,1,Valtteri,Bottas,Valtteri Bottas,4.0,Spanish Grand Prix,2014
22223,904,4,6,14,7,6,6,6,8.0,66,+1:27.743,6152898,55,4,89.898,186.411,1,Fernando,Alonso,Fernando Alonso,7.0,Spanish Grand Prix,2014
22224,904,8,6,7,6,7,7,7,6.0,65,\N,\N,53,11,90.58,185.007,11,Kimi,Räikkönen,Kimi Räikkönen,6.0,Spanish Grand Prix,2014
22225,904,154,208,8,5,8,8,8,4.0,65,\N,\N,47,14,91.068,184.016,11,Romain,Grosjean,Romain Grosjean,5.0,Spanish Grand Prix,2014
22226,904,815,10,11,11,9,9,9,2.0,65,\N,\N,39,13,90.756,184.648,11,Sergio,Pérez,Sergio Pérez,12.0,Spanish Grand Prix,2014
22227,904,807,10,27,10,10,10,10,1.0,65,\N,\N,42,16,91.411,183.325,11,Nico,Hülkenberg,Nico Hülkenberg,11.0,Spanish Grand Prix,2014
22228,904,18,1,22,8,11,11,11,0.0,65,\N,\N,43,10,90.563,185.042,11,Jenson,Button,Jenson Button,8.0,Spanish Grand Prix,2014
22229,904,825,1,20,14,12,12,12,0.0,65,\N,\N,43,7,90.318,185.544,11,Kevin,Magnussen,Kevin Magnussen,15.0,Spanish Grand Prix,2014
22230,904,13,3,19,9,13,13,13,0.0,65,\N,\N,55,9,90.468,185.236,11,Felipe,Massa,Felipe Massa,9.0,Spanish Grand Prix,2014
22231,904,826,5,26,12,14,14,14,0.0,65,\N,\N,59,6,90.269,185.645,11,Daniil,Kvyat,Daniil Kvyat,13.0,Spanish Grand Prix,2014
22232,904,813,208,13,22,15,15,15,0.0,65,\N,\N,39,15,91.235,183.679,11,Pastor,Maldonado,Pastor Maldonado,22.0,Spanish Grand Prix,2014
22233,904,821,15,21,13,16,16,16,0.0,65,\N,\N,55,12,90.666,184.832,11,Esteban,Gutiérrez,Esteban Gutiérrez,14.0,Spanish Grand Prix,2014
22234,904,16,15,99,16,17,17,17,0.0,65,\N,\N,38,17,91.473,183.201,11,Adrian,Sutil,Adrian Sutil,17.0,Spanish Grand Prix,2014
22235,904,824,206,17,18,18,18,18,0.0,64,\N,\N,46,20,91.784,182.58,12,Jules,Bianchi,Jules Bianchi,19.0,Spanish Grand Prix,2014
22236,904,820,206,4,17,19,19,19,0.0,64,\N,\N,44,18,91.767,182.614,12,Max,Chilton,Max Chilton,18.0,Spanish Grand Prix,2014
22237,904,828,207,9,19,20,20,20,0.0,64,\N,\N,54,22,93.35,179.517,12,Marcus,Ericsson,Marcus Ericsson,20.0,Spanish Grand Prix,2014
22238,904,155,207,10,20,\N,R,21,0.0,34,\N,\N,25,21,93.064,180.069,23,Kamui,Kobayashi,Kamui Kobayashi,21.0,Spanish Grand Prix,2014
22239,904,818,5,25,21,\N,R,22,0.0,24,\N,\N,18,19,91.781,182.586,43,Jean-Éric,Vergne,Jean-Éric Vergne,16.0,Spanish Grand Prix,2014
22240,905,3,131,6,1,1,1,1,25.0,78,49:27.7,6567661,33,4,79.425,151.388,1,Nico,Rosberg,Nico Rosberg,1.0,Monaco Grand Prix,2014
22241,905,1,131,44,2,2,2,2,18.0,78,9.21,6576871,34,3,79.361,151.51,1,Lewis,Hamilton,Lewis Hamilton,2.0,Monaco Grand Prix,2014
22242,905,817,9,3,3,3,3,3,15.0,78,9.614,6577275,70,2,79.252,151.718,1,Daniel,Ricciardo,Daniel Ricciardo,3.0,Monaco Grand Prix,2014
